Title,Latitude,Longitude,PowerKW,charging_station_type,anno
nuova_colonnina,46.0651947,11.121092777826384,22,slow,2033
nuova_colonnina,46.01673120000174,11.107073999995219,22,slow,2027
nuova_colonnina,46.013587285209475,11.13256682826915,50,fast,2032
nuova_colonnina,46.12470064457312,11.117088632108997,50,fast,2026
nuova_colonnina,46.11023228,11.106599406006417,50,fast,2034
Esso Trento Ovest,46.04807359999802,11.113787999999037,50,fast,2026
nuova_colonnina,46.05402096714046,11.13645747,50,fast,2034
nuova_colonnina,46.00597081073755,11.126575313358751,22,slow,2028
nuova_colonnina,46.104793465873996,11.106632400480278,22,slow,2025
Rimessaggio Trento,46.08971833,11.062381240806825,22,slow,2033
nuova_colonnina,46.056868679176056,11.128470594205949,22,slow,2029
nuova_colonnina,46.01336595408449,11.128510471082228,50,fast,2027
nuova_colonnina,46.06066555071649,11.136069275668893,50,fast,2033
nuova_colonnina,46.128439545568554,11.119332355118548,22,slow,2030
nuova_colonnina,46.12262392273002,11.095727973259251,22,slow,2034
nuova_colonnina,46.11601065470671,11.117006137587868,22,slow,2030
nuova_colonnina,46.09835169917956,11.11801616886975,50,fast,2032
nuova_colonnina,46.03686985635837,11.11005946275679,50,fast,2031
nuova_colonnina,46.046635264656096,11.118991925086927,22,slow,2031
nuova_colonnina,46.07595296977949,11.146884027712312,22,slow,2035
nuova_colonnina,46.04088828343548,11.106419737412763,22,slow,2031
nuova_colonnina,46.050952675935804,11.112466068095225,50,fast,2035
Delta Energy,46.11622500000274,11.089724299995423,50,fast,2025
nuova_colonnina,46.052382202526005,11.127514965411752,22,slow,2034
nuova_colonnina,46.120844950078926,11.118406635239603,50,fast,2032
Chiesa dell'Immacolata,46.132411130366904,11.134176948076803,50,fast,2028
nuova_colonnina,46.09972668285475,11.11285945988013,50,fast,2033
nuova_colonnina,46.09916080492487,11.106475557930093,50,fast,2028
Esso,46.057483099999125,11.128213199995688,50,fast,2025
nuova_colonnina,46.10342807157619,11.100107705416638,50,fast,2033
nuova_colonnina,46.017086780842725,11.106209547837942,22,slow,2028
Pizza Gardolo,46.10360549630362,11.10836702905105,50,fast,2028
nuova_colonnina,46.06267272123582,11.135754555872317,22,slow,2030
nuova_colonnina,46.121229021117294,11.092887944280916,22,slow,2033
Nova Club (Ex Gatto e la Volpe),46.13398930000278,11.110954999996785,22,slow,2032
nuova_colonnina,46.05713642333043,11.130101128667839,22,slow,2030
"Nido d'Infanzia ""La Mongolfiera""",46.011632090043065,11.13215096,22,slow,2030
nuova_colonnina,46.063992194786124,11.12877724,50,fast,2033
Seminario Maggiore,46.061152849996695,11.123316599995514,22,slow,2034
nuova_colonnina,46.05735627051474,11.134467692397854,22,slow,2035
nuova_colonnina,46.11517764999857,11.11598930000627,50,fast,2026
nuova_colonnina,46.065683953503516,11.136753591405506,50,fast,2034
nuova_colonnina,46.04477500668327,11.150228109735307,22,slow,2032
nuova_colonnina,46.042879291207896,11.13785054309941,50,fast,2035
Q8 Easy,46.070521899997594,11.11091209999519,50,fast,2034
nuova_colonnina,46.06614299999749,11.1185679,50,fast,2032
Korallo,46.06969929887405,11.136567351049703,50,fast,2035
nuova_colonnina,46.05021009999818,11.135466599997104,22,slow,2033
nuova_colonnina,46.10041540000285,11.115620100005403,22,slow,2026
nuova_colonnina,46.05850369252507,11.134049657101935,50,fast,2031
nuova_colonnina,46.12724964846362,11.116346501257365,22,slow,2029
nuova_colonnina,46.10475740000304,11.116047799998663,22,slow,2031
nuova_colonnina,46.08327575860434,11.064815380809701,50,fast,2031
nuova_colonnina,46.03974111312739,11.109159155696629,50,fast,2033
Al Casello,46.11709290243538,11.093890627116862,22,slow,2032
nuova_colonnina,46.09334958,11.130786119472765,50,fast,2027
nuova_colonnina,46.08252309824401,11.062961896061461,50,fast,2031
nuova_colonnina,46.09629924371811,11.11778346852176,50,fast,2031
nuova_colonnina,46.10604081329444,11.105034628877942,50,fast,2026
